KeyID	ArticleID	SubjectID
3	1	1
5	2	1
9	3	1
2	1	2
7	2	3
10	3	3
16	5	3
19	4	3
25	8	3
48	15	3
54	17	3
57	18	3
73	24	3
77	25	3
30	9	4
32	10	4
34	11	4
21	6	6
23	7	6
28	8	8
36	12	8
42	13	8
45	14	8
4	1	9
8	2	9
12	3	9
14	4	9
17	5	9
22	6	9
24	7	9
29	8	9
31	9	9
33	10	9
35	11	9
38	12	9
44	13	9
46	14	9
51	15	9
52	16	9
56	17	9
60	18	9
62	19	9
63	20	9
65	21	9
67	22	9
71	23	9
74	24	9
76	25	9
6	2	10
11	3	10
15	5	10
20	4	10
26	8	10
49	15	10
55	17	10
58	18	10
75	24	10
78	25	10
27	8	11
37	12	11
43	13	11
50	15	14
13	4	15
18	5	15
59	18	15
68	22	15
72	23	15
53	16	17
61	19	17
64	20	17
66	21	17
69	22	18
70	23	18
